,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
185,Primal Fear,1996,129,7.7,47.0,219425,56.12
186,"O Brother, Where Art Thou?",2000,107,7.7,69.0,313325,45.51
187,Kick-Ass,2010,117,7.6,66.0,564085,48.07
188,Almost Famous,2000,122,7.9,90.0,277468,32.53
189,Once Upon a Time in the West,1968,165,8.5,80.0,329545,5.32
190,Hamilton,2020,160,8.4,89.0,94604,Null
191,Life Is Beautiful,1997,116,8.6,59.0,693364,57.6
192,Ratatouille,2007,111,8.1,96.0,734795,206.45
193,Airplane!,1980,88,7.7,78.0,240723,83.4
194,Mr. Nobody,2009,141,7.8,63.0,234536,0.0
195,The Terminator,1984,107,8.1,84.0,863755,38.4
196,Edge of Tomorrow,2014,113,7.9,71.0,678297,100.21
197,The Revenant,2015,156,8.0,76.0,802360,183.64
198,2001: A Space Odyssey,1968,149,8.3,84.0,668092,56.95
199,Rio Bravo,1959,141,8.0,93.0,63296,12.54
200,Moonrise Kingdom,2012,94,7.8,84.0,351015,45.51
201,The Sound of Music,1965,172,8.1,63.0,235210,163.21
202,Sin City,2005,124,8.0,74.0,770029,74.1
203,Willy Wonka & the Chocolate Factory,1971,100,7.8,67.0,202951,4.0
204,V for Vendetta,2005,132,8.2,62.0,1120679,70.51
205,The Intouchables,2011,112,8.5,57.0,855369,13.18
206,Casablanca,1942,102,8.5,100.0,571222,1.02
207,The Pianist,2002,150,8.5,85.0,829360,32.57
208,American History X,1998,119,8.5,62.0,1119851,6.72
209,Stand by Me,1986,89,8.1,75.0,404353,52.29
210,The Godfather Part III,1990,162,7.6,60.0,397762,66.67
211,Star Wars: Episode VII - The Force Awakens,2015,138,7.8,80.0,929572,936.66
212,Watchmen,2009,162,7.6,56.0,552894,107.51
213,"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,88.0,506213,54.51
214,Stardust,2007,127,7.6,66.0,273695,38.63
215,Logan,2017,137,8.1,77.0,761190,226.28
216,The Imitation Game,2014,114,8.0,71.0,768739,91.13
217,Gone with the Wind,1939,238,8.2,97.0,316214,198.68
218,Batman Begins,2005,140,8.2,70.0,1465995,206.85
219,Coco,2017,105,8.4,81.0,505396,209.73
220,Wonder,2017,113,7.9,66.0,165355,132.42
221,Jaws,1975,124,8.1,87.0,606196,260.0
222,Fantastic Mr. Fox,2009,87,7.9,83.0,233346,21.0
223,Amadeus,1984,160,8.4,88.0,401450,51.97
224,The Thing,1982,109,8.2,57.0,425763,13.78
225,The Father,2020,97,8.2,88.0,152956,Null
226,E.T. the Extra-Terrestrial,1982,115,7.9,91.0,410334,435.11
227,Halloween,1978,91,7.7,87.0,282309,47.0
228,Pan's Labyrinth,2006,118,8.2,98.0,669102,37.63
229,Boogie Nights,1997,155,7.9,85.0,266934,26.4
230,Moana,2016,107,7.6,81.0,336358,248.76
231,The Blues Brothers,1980,133,7.9,60.0,200865,57.23
232,The Help,2011,146,8.1,62.0,459816,169.71
233,Training Day,2001,122,7.7,69.0,437655,76.63
234,Y tu mamá también,2001,106,7.7,88.0,123792,13.62
235,Ex Machina,2014,108,7.7,78.0,545611,25.44
236,Philadelphia,1993,125,7.7,66.0,243383,77.32
237,Mission: Impossible - Fallout,2018,147,7.7,86.0,333215,220.16
238,Blue Velvet,1986,120,7.7,76.0,200620,8.55
239,The Sixth Sense,1999,107,8.2,64.0,990689,293.51
240,Edward Scissorhands,1990,105,7.9,74.0,492129,56.36
241,Atonement,2007,123,7.8,85.0,279660,50.93
242,Captain America: Civil War,2016,147,7.8,75.0,786048,408.08
243,500 Days of Summer,2009,95,7.7,76.0,516787,32.39
244,Toy Story,1995,81,8.3,95.0,991197,191.8
245,Fargo,1996,98,8.1,85.0,677881,24.61
246,True Romance,1993,119,7.9,59.0,228087,12.28
247,Dances with Wolves,1990,181,8.0,72.0,266425,184.21
248,Ferris Bueller's Day Off,1986,103,7.8,61.0,359694,70.14
249,The Perks of Being a Wallflower,2012,103,7.9,67.0,512549,17.74
250,Who Framed Roger Rabbit,1988,104,7.7,83.0,202685,156.45
251,Platoon,1986,120,8.1,92.0,415035,138.53
252,Groundhog Day,1993,101,8.1,72.0,631177,70.91
253,The Hobbit: The Desolation of Smaug,2013,161,7.8,66.0,664255,258.37
254,Trainspotting,1996,93,8.1,83.0,687096,16.5
255,Silver Linings Playbook,2012,122,7.7,81.0,710042,132.09
256,Hell or High Water,2016,102,7.6,88.0,232102,26.86
257,Inside Out,2015,95,8.2,94.0,711823,356.46
258,The Curious Case of Benjamin Button,2008,166,7.8,70.0,651212,127.51
259,Little Miss Sunshine,2006,101,7.8,80.0,482412,59.89
260,A Star Is Born,2018,136,7.6,88.0,384250,215.29
261,A Beautiful Mind,2001,135,8.2,72.0,931250,170.74
262,When Harry Met Sally...,1989,95,7.7,76.0,222055,92.82
263,12 Years a Slave,2013,134,8.1,96.0,700609,56.67
264,Children of Men,2006,109,7.9,84.0,501643,35.55
265,Nightcrawler,2014,117,7.8,76.0,546677,32.38
266,The Incredibles,2004,115,8.0,90.0,736215,261.44
267,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82.0,1287831,290.48
268,Some Like It Hot,1959,121,8.2,98.0,267980,25.0
269,Psycho,1960,109,8.5,97.0,671044,32.0
270,Predator,1987,107,7.8,47.0,424541,59.74
271,Indiana Jones and the Last Crusade,1989,127,8.2,65.0,753748,197.17
272,Shrek,2001,90,7.9,84.0,676657,267.67
273,WALL·E,2008,98,8.4,95.0,1112681,223.81
274,Into the Wild,2007,148,8.1,73.0,623486,18.35
275,The Manchurian Candidate,1962,126,7.9,94.0,76210,Null
276,Blazing Saddles,1974,93,7.7,73.0,140758,119.5
277,Moneyball,2011,133,7.6,87.0,424521,75.61
278,Minority Report,2002,145,7.6,80.0,552657,132.07
279,Lost in Translation,2003,102,7.7,90.0,455922,44.59
280,Your Name.,2016,106,8.4,79.0,267862,5.02
281,The Game,1997,129,7.7,61.0,397613,48.32
282,X-Men: First Class,2011,131,7.7,65.0,693638,146.41
283,Tangled,2010,100,7.7,71.0,454200,200.82
284,Brokeback Mountain,2005,134,7.7,87.0,358338,83.04
285,RoboCop,1987,102,7.6,70.0,260316,53.42
286,Beauty and the Beast,1991,84,8.0,95.0,455248,218.97
287,Black Hawk Down,2001,144,7.7,74.0,397877,108.64
288,Coraline,2009,100,7.7,80.0,231422,75.29
289,Saw,2004,103,7.6,46.0,423498,56.0
