movie_id,movie_title,budget
46107,Legend of the Guardians: The Owls of Ga'Hoole,80000000
98073,Catwoman,100000000
96548,Hercules,100000000
97540,Treasure Planet,140000000
21279,Land of the Lost,100000000
68217,The Expendables 3,90000000
79664,Point Break,105000000
47236,Son of the Mask,84000000
65233,In the Heart of the Sea,100000000
11318,The Adventures of Pluto Nash,100000000
47941,Green Zone,100000000
69580,The Peanuts Movie,99000000
60431,The Spanish Prisoner,10000000
81757,The Mummy Returns,98000000
37520,Gangs of New York,100000000
25485,金陵十三釵,94000000
86809,Surf's Up,85000000
73276,The Stepford Wives,90000000
88055,Black Hawk Down,92000000
81793,The Campaign,0
43637,The Fifth Element,90000000
25229,Sex and the City 2,100000000
15080,The Road to El Dorado,95000000
32610,Ice Age: Continental Drift,95000000
26896,Cinderella,95000000
67497,The Lovely Bones,65000000
29072,Finding Nemo,94000000
98843,The Lord of the Rings: The Return of the King,94000000
20832,The Lord of the Rings: The Two Towers,79000000
86026,Seventh Son,95000000
83659,Lara Croft: Tomb Raider,115000000
12049,Transcendence,100000000
80119,Jurassic Park III,93000000
37168,Rise of the Planet of the Apes,93000000
49119,The Spiderwick Chronicles,90000000
19693,A Good Day to Die Hard,92000000
99668,The Alamo,145000000
65873,The Incredibles,92000000
56974,Cutthroat Island,98000000
49360,Percy Jackson & the Olympians: The Lightning Thief,95000000
25758,Men in Black,90000000
79011,Toy Story 2,90000000
69635,Unstoppable,100000000
83766,Rush Hour 2,90000000
21691,What Lies Beneath,100000000
24175,Cloudy with a Chance of Meatballs,100000000
73184,Ice Age: Dawn of the Dinosaurs,90000000
48877,The Secret Life of Walter Mitty,90000000
18887,Charlie's Angels,92000000
26110,The Departed,90000000
71690,Mulan,90000000
48400,Tropic Thunder,92000000
60550,The Girl with the Dragon Tattoo,90000000
48662,Die Hard: With a Vengeance,90000000
11210,Sherlock Holmes,90000000
33929,Ben-Hur,100000000
34974,Atlantis: The Lost Empire,120000000
13043,Alvin and the Chipmunks: The Road Chip,0
58562,Valkyrie,75000000
69893,You Don't Mess with the Zohan,90000000
21750,Pixels,88000000
24486,A.I. Artificial Intelligence,100000000
59720,The Haunted Mansion,90000000
58444,Contact,90000000
47446,Hollow Man,95000000
94528,The Interpreter,80000000
82961,Percy Jackson: Sea of Monsters,90000000
20418,Lara Croft Tomb Raider: The Cradle of Life,95000000
79026,Now You See Me 2,90000000
28527,The Saint,68000000
68305,Spy Game,92000000
73368,Mission to Mars,90000000
17748,Rio,90000000
44291,Bicentennial Man,100000000
68425,Volcano,90000000
39786,The Devil's Own,90000000
93507,K-19: The Widowmaker,100000000
42298,Conan the Barbarian,20000000
43699,Cinderella Man,88000000
24611,The Nutcracker: The Untold Story,90000000
44050,Seabiscuit,87000000
38693,Twister,92000000
65513,Cast Away,90000000
76546,Happy Feet,100000000
39637,The Bourne Supremacy,75000000
99081,Air Force One,85000000
87201,Ocean's Eleven,85000000
37052,The Three Musketeers,75000000
59259,Hotel Transylvania,85000000
18502,Enchanted,85000000
94514,Safe House,85000000
17405,102 Dalmatians,85000000
95146,Tower Heist,75000000
47582,The Holiday,85000000
47286,Enemy of the State,90000000
27994,It's Complicated,85000000
91156,Ocean's Thirteen,85000000
77783,Open Season,85000000
81991,Divergent,85000000
70570,Enemy at the Gates,68000000
41241,The Rundown,85000000
92177,Last Action Hero,85000000
72450,Memoirs of a Geisha,85000000
71252,The Fast and the Furious: Tokyo Drift,85000000
75303,Arthur Christmas,0
73296,Meet Joe Black,90000000
65092,Collateral Damage,85000000
24215,All That Jazz,0
41432,Mirror Mirror,85000000
92036,Scott Pilgrim vs. the World,60000000
71597,The Core,60000000
99730,Nutty Professor II: The Klumps,84000000
11331,Scooby-Doo,84000000
47807,Dredd,50000000
59831,Click,82500000
23458,Creepshow,8000000
89610,Cats & Dogs 2 : The Revenge of Kitty Galore,85000000
68093,Jumper,85000000
22583,Hellboy II: The Golden Army,85000000
45431,Zodiac,65000000
31018,The 6th Day,82000000
60729,Bruce Almighty,80000000
78388,The Expendables,80000000
20371,Mission: Impossible,80000000
62446,The Hunger Games,75000000
33471,The Hangover Part II,80000000
69545,Batman Returns,80000000
26983,Over the Hedge,80000000
57674,Lilo & Stitch,80000000
86138,Charlotte's Web,85000000
91627,Deep Impact,75000000
51530,RED 2,84000000
22306,The Longest Yard,82000000
40784,Alvin and the Chipmunks: Chipwrecked,75000000
82982,Grown Ups 2,80000000
39179,Get Smart,80000000
91893,Something's Gotta Give,80000000
38257,Shutter Island,80000000
21885,Four Christmases,80000000
53187,Robots,75000000
83501,Face/Off,80000000
28592,Bedtime Stories,80000000
67638,Road to Perdition,80000000
43514,Just Go with It,80000000
47642,Con Air,75000000
95571,Eagle Eye,80000000
51114,Cold Mountain,79000000
79677,The Book of Eli,80000000
65864,Flubber,80000000
49312,The Haunting,80000000
69944,Space Jam,80000000
47536,The Pink Panther,0
40408,The Day the Earth Stood Still,80000000
94768,Conspiracy Theory,75000000
40555,Fury,68000000
35128,Six Days Seven Nights,70000000
70690,Yogi Bear,80000000
60862,Spirit: Stallion of the Cimarron,80000000
36742,Zookeeper,80000000
49773,Lost in Space,80000000
95829,The Manchurian Candidate,80000000
76780,Déjà Vu,0
80335,Hotel Transylvania 2,80000000
95225,Fantasia 2000,80000000
25252,The Time Machine,80000000
86573,Mighty Joe Young,90000000
99251,Swordfish,102000000
15842,The Legend of Zorro,75000000
47180,What Dreams May Come,85000000
89463,Little Nicky,85000000
31847,The Brothers Grimm,88000000
84637,Mars Attacks!,70000000
86492,Évolution,0
58976,The Edge,0
89574,Surrogates,80000000
73606,Thirteen Days,80000000
56821,Daylight,80000000
40288,Walking With Dinosaurs,80000000
36874,Battlefield Earth,44000000
97963,Looney Tunes: Back in Action,80000000
83413,Nine,80000000
18648,Timeline,80000000
52587,The Postman,80000000
70759,Babe: Pig in the City,90000000
85522,The Last Witch Hunter,90000000
59142,Red Planet,80000000
78506,Arthur et les Minimoys,86000000
52043,Oceans,0
22128,A Sound of Thunder,80000000
28197,Pompeii,130000000
71606,Don Gato: El inicio de la pandilla,8000000
60486,A Beautiful Mind,60000000
33672,The Lion King,45000000
75730,Journey 2: The Mysterious Island,79000000
78945,Cloudy with a Chance of Meatballs 2,78000000
57476,Red Dragon,78000000
55309,Hidalgo,100000000
72551,Jack and Jill,79000000
