,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
191,Ant-Man,2015,PG-13,"['Action', ' Adventure', ' Comedy']",117,7.3,64,665998,73.0
192,Mortal Kombat,2021,R,"['Action', ' Adventure', ' Fantasy']",110,6.1,44,173577,61.0
193,Glass,2019,PG-13,"['Drama', ' Horror', ' Sci-Fi']",129,6.6,43,244378,66.0
194,Planet of the Apes,1968,G,"['Adventure', ' Sci-Fi']",112,8.0,79,181192,80.0
195,World War Z,2013,PG-13,"['Action', ' Adventure', ' Horror']",116,7.0,63,667074,70.0
196,Mad Max,1979,R,"['Action', ' Adventure', ' Sci-Fi']",88,6.8,73,208843,68.0
197,Galaxy Quest,1999,PG,"['Adventure', ' Comedy', ' Sci-Fi']",102,7.4,70,165163,74.0
198,The Incredible Hulk,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,61,493488,66.0
199,The Lego Movie,2014,PG,"['Animation', ' Action', ' Adventure']",100,7.7,83,356661,77.0
200,Superman,1978,PG,"['Action', ' Adventure', ' Sci-Fi']",143,7.4,81,176151,74.0
201,Megamind,2010,PG,"['Animation', ' Action', ' Comedy']",95,7.3,63,263937,73.0
202,The Hunger Games: Mockingjay - Part 1,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.6,64,456893,66.0
203,Terminator: Dark Fate,2019,R,"['Action', ' Adventure', ' Sci-Fi']",128,6.2,54,178643,62.0
204,The New Mutants,2020,PG-13,"['Action', ' Horror', ' Mystery']",94,5.3,43,80360,53.0
205,Tron: Legacy,2010,PG,"['Action', ' Adventure', ' Sci-Fi']",125,6.8,49,338712,68.0
206,Pacific Rim,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,6.9,65,503281,69.0
207,Contact,1997,PG,"['Drama', ' Mystery', ' Sci-Fi']",150,7.5,62,276270,75.0
208,Deep Impact,1998,PG-13,"['Action', ' Drama', ' Sci-Fi']",120,6.2,40,179955,62.0
209,Cloud Atlas,2012,R,"['Drama', ' Mystery', ' Sci-Fi']",172,7.4,55,363452,74.0
210,Army of the Dead,2021,R,"['Action', ' Crime', ' Horror']",148,5.7,57,173044,57.0
211,The Running Man,1987,R,"['Action', ' Sci-Fi', ' Thriller']",101,6.6,45,154945,66.0
212,Elysium,2013,R,"['Action', ' Drama', ' Sci-Fi']",109,6.6,61,449796,66.0
213,Spaceballs,1987,PG,"['Adventure', ' Comedy', ' Sci-Fi']",96,7.1,46,192011,71.0
214,The Bad Batch,2016,R,"['Action', ' Horror', ' Mystery']",118,5.2,62,32217,52.0
215,Resident Evil: Welcome to Raccoon City,2021,R,"['Action', ' Horror', ' Sci-Fi']",107,5.2,44,54116,52.0
216,Ad Astra,2019,PG-13,"['Adventure', ' Drama', ' Mystery']",123,6.5,80,236327,65.0
217,Minions,2015,PG,"['Animation', ' Adventure', ' Comedy']",91,6.4,56,240311,64.0
218,Valerian and the City of a Thousand Planets,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",136,6.4,51,182799,64.0
219,Ghostbusters,2016,PG-13,"['Action', ' Comedy', ' Fantasy']",117,6.9,60,233034,69.0
220,X-Men: Days of Future Past,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,7.9,75,713148,79.0
221,X-Men Origins: Wolverine,2009,PG-13,"['Action', ' Sci-Fi']",107,6.5,40,506570,65.0
222,Lucy,2014,R,"['Action', ' Sci-Fi', ' Thriller']",89,6.4,61,497926,64.0
