movie_id,movie_title,rating
97963,Looney Tunes: Back in Action,5.6
83413,Nine,5.1
18648,Timeline,5.4
52587,The Postman,6.1
70759,Babe: Pig in the City,5.2
85522,The Last Witch Hunter,5.7
59142,Red Planet,5.4
78506,Arthur et les Minimoys,6
52043,Oceans,7.3
22128,A Sound of Thunder,4.8
28197,Pompeii,5.2
71606,Don Gato: El inicio de la pandilla,5.3
60486,A Beautiful Mind,7.7
33672,The Lion King,8
75730,Journey 2: The Mysterious Island,5.8
78945,Cloudy with a Chance of Meatballs 2,6.4
57476,Red Dragon,6.7
55309,Hidalgo,6.5
72551,Jack and Jill,4.1
